sequence_id,method,first_token,reason,after_failure_not_run
rtpa_v04_natural_language_confirm0,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm0,B_U8_P_STORE,500,OPERATIONAL_NONFINITE_LOGITS,523
rtpa_v04_natural_language_confirm0,B_DAMP8_P_STORE,477,OPERATIONAL_NONFINITE_LOGITS,546
rtpa_v04_natural_language_confirm0,B_DIAG8_P_STORE,497,OPERATIONAL_NONFINITE_LOGITS,526
rtpa_v04_natural_language_confirm0,B_JOINT8_P_STORE,472,OPERATIONAL_NONFINITE_LOGITS,551
rtpa_v04_natural_language_confirm0,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm0,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm0,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_natural_language_confirm0,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_code_confirm0,B_JOINT8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,NATIVE_REFERENCE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,B_U8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,B_DAMP8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,B_DIAG8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,B_JOINT8_P_STORE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,B_U8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,B_DAMP8_P_PRE,1023,NO_NEXT_TOKEN,0
rtpa_v04_associative_recall_confirm0,B_DIAG8_P_PRE,1023,NO_NEXT_TOKEN,0
